dates UTC, chainage (m)
1984-06-06 00:37:47+00:00,135.7
1984-07-15 00:44:31+00:00,122.1
1984-07-31 00:45:05+00:00,120.0
1984-08-16 00:45:37+00:00,153.1
1984-09-10 00:39:44+00:00,121.8
1984-11-04 00:45:46+00:00,145.7
1985-01-07 00:46:06+00:00,146.9
1985-07-27 00:39:53+00:00,130.9
1985-08-28 00:39:33+00:00,130.9
1985-12-09 00:43:54+00:00,133.8
1986-01-10 00:43:19+00:00,153.4
1986-04-09 00:35:13+00:00,106.1
1986-05-27 00:33:59+00:00,115.5
1986-06-12 00:33:30+00:00,113.8
1986-07-30 00:32:17+00:00,127.4
1986-08-22 00:37:13+00:00,109.4
1986-11-10 00:34:29+00:00,116.5
1987-02-14 00:36:34+00:00,131.2
1987-04-19 00:38:53+00:00,119.7
1987-05-05 00:39:21+00:00,135.5
1987-05-21 00:39:47+00:00,140.0
1987-07-24 00:41:10+00:00,151.4
1987-08-09 00:41:41+00:00,146.6
1988-02-01 00:45:12+00:00,134.0
1988-12-01 00:46:24+00:00,116.6
1988-12-26 00:39:57+00:00,120.4
1989-01-18 00:45:52+00:00,122.0
1989-01-27 00:39:36+00:00,100.4
1989-08-23 00:36:11+00:00,114.9
1989-10-26 00:34:47+00:00,119.2
1989-11-02 00:40:32+00:00,114.5
1989-11-18 00:39:55+00:00,105.2
1989-12-20 00:39:08+00:00,133.7
1990-01-05 00:38:33+00:00,129.3
1990-02-06 00:37:37+00:00,123.3
1990-02-22 00:37:07+00:00,128.2
1990-03-26 00:36:02+00:00,107.1
1990-04-11 00:36:00+00:00,117.3
1990-05-29 00:36:00+00:00,123.7
1990-09-11 00:29:53+00:00,131.1
1990-10-29 00:29:31+00:00,126.2
1990-11-05 00:35:16+00:00,107.8
1990-11-14 00:29:08+00:00,114.4
1990-12-07 00:35:04+00:00,135.3
1991-01-08 00:35:50+00:00,126.8
1991-01-17 00:30:21+00:00,111.5
1991-01-24 00:36:18+00:00,112.8
1991-02-25 00:36:50+00:00,116.7
1991-06-26 00:32:41+00:00,140.0
1992-02-28 00:39:59+00:00,127.6
1992-03-31 00:39:54+00:00,118.1
1992-04-09 00:34:01+00:00,111.1
1992-05-11 00:33:46+00:00,116.3
1992-08-15 00:32:37+00:00,104.1
1992-08-22 00:38:16+00:00,123.6
1992-11-26 00:36:52+00:00,113.0
1993-01-06 00:31:10+00:00,138.5
1993-01-22 00:31:45+00:00,130.4
1993-01-29 00:37:36+00:00,120.2
1993-03-11 00:31:48+00:00,98.2
1993-03-18 00:38:00+00:00,111.8
1993-05-21 00:38:19+00:00,99.2
1993-08-25 00:38:12+00:00,109.5
1993-09-10 00:38:10+00:00,111.6
1993-10-12 00:38:02+00:00,132.3
1993-10-28 00:37:56+00:00,122.7
1993-11-29 00:37:44+00:00,129.9
1994-03-21 00:36:22+00:00,153.0
1994-04-22 00:35:46+00:00,127.9
1994-05-24 00:35:11+00:00,136.1
1994-06-02 00:28:50+00:00,137.0
1995-01-19 00:28:15+00:00,146.0
1995-03-08 00:26:21+00:00,133.3
1995-08-08 00:13:24+00:00,148.1
1995-08-15 00:19:15+00:00,168.9
1995-08-24 00:12:39+00:00,165.1
1995-09-09 00:11:54+00:00,161.8
1995-10-27 00:09:45+00:00,157.7
1996-02-07 00:20:41+00:00,169.7
1996-02-23 00:21:47+00:00,137.0
1996-04-27 00:25:50+00:00,132.5
1997-08-04 00:46:57+00:00,142.9
1997-11-08 00:49:42+00:00,154.7
1998-01-27 00:51:33+00:00,175.1
1998-03-16 00:52:26+00:00,147.4
1998-10-10 00:54:39+00:00,148.1
1998-11-27 00:54:50+00:00,163.7
1998-12-13 00:54:45+00:00,159.6
1999-01-14 00:54:48+00:00,174.5
1999-07-25 00:53:33+00:00,174.6
1999-08-03 00:47:44+00:00,165.1
1999-10-21 01:08:41+00:00,147.7
1999-11-14 00:51:34+00:00,167.3
1999-11-22 01:08:38+00:00,166.1
2000-01-26 00:44:11+00:00,171.0
2000-03-21 00:49:51+00:00,133.8
2000-03-22 01:02:39+00:00,135.5
2000-03-29 01:08:21+00:00,133.2
2000-05-09 01:01:47+00:00,148.1
2000-05-16 01:07:56+00:00,144.5
2000-07-03 01:07:27+00:00,156.1
2000-07-20 00:46:43+00:00,158.4
2000-08-20 01:06:52+00:00,143.2
2000-08-29 01:00:58+00:00,167.1
2000-09-21 01:06:17+00:00,159.7
2000-09-22 00:48:19+00:00,166.0
2000-09-30 01:00:05+00:00,143.2
2000-11-24 01:06:08+00:00,173.2
2000-12-02 00:55:02+00:00,195.8
2000-12-26 01:06:17+00:00,190.6
2001-02-21 01:00:26+00:00,174.1
2001-03-09 00:59:58+00:00,161.9
2001-03-16 01:06:05+00:00,149.0
2001-04-01 01:05:57+00:00,166.5
2001-04-10 01:00:08+00:00,146.0
2001-06-04 01:05:30+00:00,154.6
2001-07-14 00:56:13+00:00,175.0
2001-07-15 00:58:59+00:00,176.2
2001-07-30 00:56:08+00:00,165.1
2001-08-23 01:04:37+00:00,154.8
2001-09-24 01:04:17+00:00,148.6
2001-10-03 00:57:54+00:00,166.6
2001-10-19 00:57:56+00:00,148.8
2001-10-26 01:04:07+00:00,157.1
2001-11-11 01:04:17+00:00,142.7
2001-11-20 00:58:34+00:00,171.8
2001-11-27 01:04:23+00:00,169.5
2001-12-22 00:58:19+00:00,165.4
2001-12-29 01:04:27+00:00,172.3
2002-02-15 01:04:43+00:00,174.6
2002-03-12 00:58:57+00:00,189.6
2002-03-19 01:04:35+00:00,177.5
2002-03-28 00:58:27+00:00,180.4
2002-04-20 01:04:36+00:00,160.8
2002-04-29 00:58:28+00:00,139.3
2002-06-07 01:04:24+00:00,161.4
2002-09-04 00:58:02+00:00,158.0
2002-09-20 00:57:25+00:00,174.0
2002-10-22 00:57:26+00:00,132.9
2002-10-29 01:03:36+00:00,171.9
2002-11-14 01:03:44+00:00,181.2
2002-11-30 01:04:03+00:00,163.6
2003-01-17 01:04:16+00:00,191.9
2003-04-07 01:04:35+00:00,152.3
2003-05-09 01:04:34+00:00,151.9
2003-09-30 01:04:00+00:00,145.3
2003-11-17 01:04:26+00:00,167.8
2003-11-26 00:58:19+00:00,144.1
2003-12-27 00:54:33+00:00,161.4
2004-01-20 01:04:49+00:00,154.2
2004-01-28 00:54:40+00:00,157.0
2004-01-29 00:58:42+00:00,164.6
2004-02-13 00:54:43+00:00,160.5
2004-02-14 00:59:09+00:00,156.9
2004-02-22 00:49:00+00:00,143.4
2004-03-08 01:05:02+00:00,155.8
2004-03-16 00:54:55+00:00,151.0
2004-04-01 00:55:02+00:00,145.6
2004-04-25 01:04:57+00:00,163.8
2004-06-04 00:56:56+00:00,155.1
2004-07-07 00:59:02+00:00,126.6
2004-09-09 00:58:19+00:00,150.6
2004-09-16 01:04:27+00:00,159.9
2004-10-02 01:04:23+00:00,160.9
2004-10-18 01:04:29+00:00,151.8
2004-11-27 01:01:08+00:00,186.8
2004-12-05 01:04:58+00:00,144.0
2004-12-13 01:01:29+00:00,171.0
2004-12-21 01:05:05+00:00,172.0
2004-12-30 00:59:23+00:00,168.5
2005-01-14 01:01:54+00:00,190.4
2005-01-30 01:02:06+00:00,187.1
2005-02-15 01:02:22+00:00,172.6
2005-03-03 01:02:38+00:00,182.2
2005-03-19 01:02:49+00:00,183.1
2005-03-27 01:05:30+00:00,180.7
2005-04-28 01:05:23+00:00,167.1
2005-04-29 00:56:50+00:00,186.8
2005-09-03 01:05:00+00:00,146.5
2005-09-04 00:57:45+00:00,145.7
2005-09-11 01:03:57+00:00,187.7
2005-09-12 00:59:07+00:00,192.8
2005-09-19 01:04:53+00:00,179.2
2005-10-13 01:03:51+00:00,172.0
2005-12-01 00:59:38+00:00,196.7
2005-12-24 01:05:29+00:00,190.2
2006-01-25 01:05:47+00:00,206.1
2006-02-10 01:05:52+00:00,204.1
2006-05-25 01:08:02+00:00,190.6
2006-08-05 01:05:30+00:00,197.3
2006-09-07 01:03:44+00:00,204.4
2006-09-23 01:03:31+00:00,129.6
2006-10-08 01:05:10+00:00,153.7
2006-10-09 01:03:43+00:00,173.0
2006-11-02 00:59:24+00:00,159.5
2006-11-09 01:05:41+00:00,182.1
2006-11-25 01:05:51+00:00,167.9
2006-12-03 01:10:24+00:00,169.6
2007-01-04 01:10:37+00:00,164.6
2007-01-13 01:04:54+00:00,173.4
2007-02-05 01:10:47+00:00,180.9
2007-02-13 01:06:14+00:00,185.5
2007-02-21 01:10:49+00:00,177.9
2007-03-18 01:04:35+00:00,158.4
2007-04-10 01:10:38+00:00,160.0
2007-04-26 01:10:31+00:00,143.3
2007-05-12 01:10:22+00:00,144.4
2007-05-20 01:06:09+00:00,137.6
2007-05-21 01:04:05+00:00,149.5
2007-05-29 00:59:54+00:00,135.1
2007-06-13 01:09:55+00:00,142.7
2007-08-16 01:09:10+00:00,151.7
2007-11-12 01:05:55+00:00,151.9
2007-12-14 01:06:07+00:00,176.8
2008-02-16 01:06:06+00:00,168.7
2008-02-24 01:06:16+00:00,179.0
2008-03-11 01:05:56+00:00,168.3
2008-04-05 00:59:12+00:00,151.9
2008-04-12 01:05:12+00:00,132.8
2008-05-07 00:58:22+00:00,139.9
2008-05-23 00:57:58+00:00,125.1
2008-06-16 00:59:22+00:00,115.7
2008-07-02 00:59:12+00:00,118.5
2008-09-03 01:01:14+00:00,130.1
2008-09-12 00:54:48+00:00,127.7
2008-10-21 00:59:44+00:00,116.6
2008-10-22 00:58:26+00:00,116.3
2008-11-22 00:59:19+00:00,147.0
2008-11-30 01:05:10+00:00,144.9
2008-12-16 01:05:19+00:00,142.0
2009-01-01 01:05:26+00:00,149.6
2009-01-17 01:05:32+00:00,148.0
2009-01-25 01:01:09+00:00,148.1
2009-02-10 01:01:34+00:00,128.0
2009-02-18 01:05:45+00:00,138.3
2009-03-15 01:00:12+00:00,129.9
2009-03-30 01:02:41+00:00,109.7
2009-04-07 01:06:07+00:00,123.4
2009-04-15 01:03:00+00:00,122.9
2009-04-23 01:06:12+00:00,117.5
2009-05-01 01:03:18+00:00,125.5
2009-05-02 01:00:27+00:00,126.7
2009-05-18 01:00:05+00:00,128.4
2009-05-26 00:57:36+00:00,115.7
2009-06-02 01:03:53+00:00,130.2
2009-06-27 00:58:10+00:00,139.3
2009-08-29 01:06:00+00:00,148.4
2009-09-14 01:05:59+00:00,142.0
2009-10-16 01:05:58+00:00,132.1
2009-11-09 01:06:08+00:00,141.5
2009-12-19 01:06:53+00:00,145.3
2010-01-20 01:07:24+00:00,144.7
2010-02-05 01:07:37+00:00,149.9
2010-02-06 01:00:32+00:00,143.6
2010-04-18 01:06:42+00:00,125.3
2010-04-26 01:08:01+00:00,122.1
2010-05-05 01:01:49+00:00,119.8
2010-05-28 01:07:57+00:00,111.2
2010-07-24 01:02:16+00:00,142.1
2010-08-24 01:06:07+00:00,151.4
2010-08-25 01:02:18+00:00,152.6
2010-09-01 01:08:06+00:00,165.2
2010-10-11 01:05:49+00:00,145.9
2010-11-28 01:05:38+00:00,134.0
2010-12-15 01:02:40+00:00,139.2
2010-12-22 01:08:53+00:00,138.4
2010-12-31 01:03:12+00:00,125.7
2011-01-07 01:09:03+00:00,128.1
2011-03-04 01:05:46+00:00,116.2
2011-03-05 01:03:35+00:00,106.4
2011-03-12 01:09:23+00:00,116.4
2011-03-13 00:59:33+00:00,116.7
2011-03-29 00:59:28+00:00,110.4
2011-04-05 01:05:38+00:00,114.5
2011-04-06 01:03:40+00:00,108.5
2011-04-13 01:09:26+00:00,111.7
2011-04-14 00:59:24+00:00,122.0
2011-05-08 01:03:38+00:00,108.5
2011-07-10 01:05:00+00:00,122.5
2011-07-11 01:03:34+00:00,118.3
2011-08-11 01:04:42+00:00,115.9
2011-08-12 01:03:27+00:00,113.5
2011-09-13 01:03:19+00:00,126.6
2011-10-14 01:03:50+00:00,123.4
2011-11-16 01:03:37+00:00,142.2
2011-11-23 01:09:29+00:00,128.3
2011-12-18 01:03:29+00:00,147.0
2011-12-25 01:09:46+00:00,137.7
2012-01-10 01:09:51+00:00,140.4
2012-01-26 01:09:49+00:00,131.7
2012-02-04 01:04:07+00:00,132.8
2012-02-11 01:09:56+00:00,132.3
2012-02-20 01:03:47+00:00,150.2
2012-03-14 01:09:56+00:00,121.9
2012-04-24 01:03:54+00:00,116.6
2012-05-26 01:04:36+00:00,114.8
2012-08-21 01:11:01+00:00,134.6
2012-10-24 01:11:38+00:00,139.9
2012-11-02 01:05:29+00:00,133.8
2012-11-25 01:11:49+00:00,143.1
2012-12-11 01:11:52+00:00,144.0
2012-12-27 01:11:58+00:00,147.6
2013-01-21 01:06:13+00:00,132.2
2013-03-17 01:11:56+00:00,141.6
2013-05-04 01:11:44+00:00,141.4
2013-07-23 01:11:09+00:00,129.5
2013-08-16 01:17:49+00:00,163.2
2013-09-17 01:17:47+00:00,165.2
2013-10-03 01:17:42+00:00,160.9
2013-10-12 01:11:31+00:00,162.4
2013-10-27 01:11:53+00:00,142.1
2013-11-05 01:06:10+00:00,155.7
2013-11-13 01:11:46+00:00,168.8
2013-11-21 01:05:50+00:00,152.5
2013-11-29 01:11:39+00:00,163.4
2013-12-30 01:12:15+00:00,160.1
2013-12-31 01:11:03+00:00,150.1
2014-01-07 01:17:08+00:00,156.7
2014-01-08 01:06:29+00:00,150.3
2014-01-23 01:16:57+00:00,164.5
2014-01-31 01:12:41+00:00,160.9
2014-02-25 01:06:21+00:00,145.8
2014-03-04 01:12:36+00:00,144.6
2014-03-12 01:16:22+00:00,141.1
2014-03-21 01:10:03+00:00,134.6
2014-03-28 01:16:04+00:00,143.8
2014-08-03 01:15:49+00:00,159.1
2014-09-04 01:15:56+00:00,169.9
2014-10-14 01:13:47+00:00,127.3
2014-11-07 01:16:03+00:00,142.6
2014-11-15 01:14:04+00:00,169.0
2014-11-23 01:15:59+00:00,161.2
2014-12-09 01:15:56+00:00,168.1
2014-12-25 01:15:55+00:00,166.1
2015-01-10 01:15:52+00:00,176.2
2015-02-03 01:14:31+00:00,179.2
2015-02-19 01:14:34+00:00,162.7
2015-02-28 01:08:30+00:00,173.6
2015-03-24 01:09:35+00:00,163.2
2015-03-31 01:15:15+00:00,170.1
2015-04-16 01:15:12+00:00,160.5
2015-04-24 01:15:04+00:00,151.4
2015-04-25 01:08:58+00:00,161.5
2015-05-02 01:15:02+00:00,167.3
2015-05-10 01:15:13+00:00,164.8
2015-05-11 01:09:06+00:00,180.0
2015-05-26 01:15:17+00:00,158.6
2015-06-20 01:09:39+00:00,133.4
2015-07-21 01:15:24+00:00,148.8
2015-08-06 01:15:27+00:00,162.6
2015-09-23 01:15:48+00:00,157.3
2015-10-09 01:15:50+00:00,135.5
2015-10-25 01:15:54+00:00,154.5
2015-11-11 01:10:40+00:00,164.3
2015-11-27 01:10:31+00:00,154.6
2015-12-20 01:17:04+00:00,181.0
2015-12-29 01:11:23+00:00,176.0
2016-01-05 01:17:18+00:00,175.7
2016-01-14 01:11:15+00:00,162.2
2016-01-21 01:17:32+00:00,160.0
2016-03-01 01:15:43+00:00,175.1
2016-03-17 01:15:38+00:00,176.3
2016-03-18 01:12:09+00:00,180.8
2016-04-10 01:18:02+00:00,139.7
2016-04-26 01:18:10+00:00,162.5
2016-08-16 01:18:27+00:00,144.7
2016-08-25 01:12:42+00:00,155.1
2016-09-09 01:16:02+00:00,158.5
2016-09-10 01:12:21+00:00,167.4
2016-11-04 01:18:28+00:00,172.8
2016-11-20 01:18:21+00:00,170.3
2016-12-06 01:18:19+00:00,185.6
2017-01-07 01:18:03+00:00,190.2
2017-01-15 01:15:59+00:00,180.5
2017-01-31 01:15:52+00:00,173.8
2017-02-16 01:15:45+00:00,178.9
2017-03-20 01:15:29+00:00,156.2
2017-04-14 01:09:30+00:00,161.3
2017-04-29 01:18:15+00:00,140.3
2017-09-29 01:12:38+00:00,172.5
2017-10-30 01:16:07+00:00,153.5
2017-12-09 01:18:15+00:00,182.7
2017-12-17 01:16:00+00:00,183.1
2017-12-25 01:18:05+00:00,159.0
2018-01-26 01:17:37+00:00,182.4
2018-02-11 01:17:23+00:00,156.5
2018-03-31 01:16:48+00:00,174.2
2018-04-16 01:16:33+00:00,170.9
2018-05-11 01:10:19+00:00,174.3
2018-07-14 01:09:11+00:00,171.3
2018-07-29 01:15:05+00:00,156.5
2018-10-01 01:15:33+00:00,155.1
2018-10-02 01:07:34+00:00,182.7
2018-10-09 01:13:10+00:00,180.0
2018-10-25 01:12:48+00:00,177.2
2018-11-02 01:15:44+00:00,197.5
2018-12-04 01:15:44+00:00,207.2
2018-12-28 01:11:10+00:00,212.3
2019-01-05 01:15:41+00:00,204.2
2019-01-21 01:15:38+00:00,205.5
2019-01-29 01:10:09+00:00,205.3
2019-03-02 01:09:12+00:00,206.8
2019-03-18 01:08:41+00:00,190.6
2019-03-27 01:02:12+00:00,187.9
2019-04-03 01:08:08+00:00,198.5
2019-04-20 01:09:04+00:00,177.8
2019-04-28 01:01:03+00:00,203.6
2019-08-17 01:15:58+00:00,185.7
2019-08-18 00:56:44+00:00,191.1
2019-09-02 01:16:01+00:00,196.7
2019-09-10 01:01:56+00:00,192.4
2019-10-05 00:54:40+00:00,215.9
2019-11-05 01:16:12+00:00,182.7
2019-11-06 00:53:18+00:00,180.8
2019-11-13 00:59:09+00:00,184.6
2019-11-21 01:16:08+00:00,203.0
2020-01-16 00:55:58+00:00,197.0
2020-02-01 00:55:10+00:00,176.8
2020-02-09 01:15:52+00:00,178.5
2020-02-17 00:54:21+00:00,178.1
2020-03-12 01:15:42+00:00,187.1
2020-04-06 01:09:42+00:00,186.4
2020-04-29 01:15:18+00:00,181.8
2020-05-07 00:49:50+00:00,178.0
2020-05-08 01:09:26+00:00,193.3
2020-08-03 01:15:47+00:00,190.3
2020-08-04 00:38:41+00:00,194.6
2020-08-19 01:15:52+00:00,203.1
2020-09-28 00:40:53+00:00,176.4
2020-11-15 00:37:43+00:00,190.3
2020-11-23 01:16:09+00:00,203.1
2020-12-17 00:35:23+00:00,214.9
2020-12-25 01:16:08+00:00,208.4
2020-12-26 00:28:56+00:00,209.0
2021-01-10 01:16:02+00:00,208.9
2021-02-03 00:31:57+00:00,205.8
2021-02-11 01:15:55+00:00,197.3
2021-02-19 00:30:45+00:00,191.5
2021-03-15 01:15:40+00:00,192.2
2021-03-23 00:28:15+00:00,183.4
2021-04-01 00:21:20+00:00,170.5
2021-04-09 01:09:46+00:00,179.9
2021-04-16 01:15:30+00:00,177.5
2021-04-24 00:25:35+00:00,174.7
2021-05-02 01:15:21+00:00,174.7
2021-07-21 01:15:47+00:00,203.2
2021-08-06 01:15:55+00:00,197.1
2021-11-11 00:01:57+00:00,181.4
2021-11-17 01:15:10+00:00,189.6
2021-11-26 01:16:11+00:00,190.5
2021-11-27 00:00:23+00:00,192.5
2021-12-04 00:05:55+00:00,178.0
2021-12-04 01:16:14+00:00,173.8
2021-12-12 01:16:10+00:00,153.9
2021-12-13 01:10:21+00:00,175.4
2021-12-20 00:04:24+00:00,174.0
2021-12-20 01:16:06+00:00,175.1
2021-12-28 01:16:05+00:00,182.8
2022-01-05 01:16:06+00:00,179.9
2022-02-06 01:16:05+00:00,172.7
2022-02-22 01:15:57+00:00,165.0
2022-03-11 01:09:37+00:00,165.7
2022-04-12 01:09:28+00:00,158.7
2022-07-01 01:10:17+00:00,189.3
2022-08-02 01:10:28+00:00,170.2
2022-09-10 01:16:25+00:00,165.7
2022-09-19 01:10:17+00:00,166.8
2022-09-26 01:16:28+00:00,175.7
2022-09-27 01:10:24+00:00,167.1
2022-10-20 01:16:17+00:00,186.4
2022-10-28 01:16:27+00:00,167.2
2022-10-29 01:10:29+00:00,168.0
2022-11-06 01:10:41+00:00,163.9
2022-12-07 01:16:16+00:00,165.1
2022-12-16 01:10:05+00:00,171.8
2023-01-01 01:10:29+00:00,172.1
2023-01-08 01:16:16+00:00,170.8
2023-01-09 01:10:02+00:00,169.5
2023-02-09 01:16:20+00:00,173.8
2023-02-18 01:10:03+00:00,149.6
2023-05-09 01:09:41+00:00,157.0
2023-05-17 01:08:54+00:00,159.7
2023-06-25 01:15:20+00:00,183.3
2023-07-11 01:15:31+00:00,187.6
2023-07-12 01:09:14+00:00,196.2
2023-07-27 01:15:37+00:00,192.9
2023-08-04 01:15:33+00:00,179.8
2023-08-12 01:15:41+00:00,164.4
2023-08-20 01:15:37+00:00,184.0
