dates UTC, chainage (m)
1984-06-06 00:37:47+00:00,123.9
1984-07-15 00:44:31+00:00,123.2
1984-07-31 00:45:05+00:00,117.6
1984-08-16 00:45:37+00:00,134.2
1984-09-10 00:39:44+00:00,131.4
1984-11-04 00:45:46+00:00,139.0
1985-01-07 00:46:06+00:00,141.1
1985-07-27 00:39:53+00:00,119.7
1985-08-28 00:39:33+00:00,122.8
1985-12-09 00:43:54+00:00,121.9
1986-01-10 00:43:19+00:00,147.5
1986-04-09 00:35:13+00:00,94.3
1986-05-27 00:33:59+00:00,106.7
1986-06-12 00:33:30+00:00,121.6
1986-07-30 00:32:17+00:00,128.8
1986-08-22 00:37:13+00:00,107.9
1986-11-10 00:34:29+00:00,112.7
1987-02-14 00:36:34+00:00,115.2
1987-04-19 00:38:53+00:00,100.2
1987-05-05 00:39:21+00:00,119.8
1987-05-21 00:39:47+00:00,128.6
1988-02-01 00:45:12+00:00,142.6
1988-12-26 00:39:57+00:00,118.3
1989-01-18 00:45:52+00:00,117.5
1989-01-27 00:39:36+00:00,99.5
1989-08-23 00:36:11+00:00,125.3
1989-10-26 00:34:47+00:00,130.3
1989-11-02 00:40:32+00:00,117.0
1989-11-18 00:39:55+00:00,102.6
1989-12-20 00:39:08+00:00,121.0
1990-01-05 00:38:33+00:00,119.0
1990-02-06 00:37:37+00:00,117.7
1990-02-22 00:37:07+00:00,107.2
1990-03-26 00:36:02+00:00,96.7
1990-04-11 00:36:00+00:00,109.2
1990-05-29 00:36:00+00:00,110.0
1990-09-11 00:29:53+00:00,136.8
1990-10-29 00:29:31+00:00,133.5
1990-11-05 00:35:16+00:00,103.2
1990-11-14 00:29:08+00:00,112.5
1990-12-07 00:35:04+00:00,125.5
1991-01-08 00:35:50+00:00,113.5
1991-01-17 00:30:21+00:00,109.0
1991-01-24 00:36:18+00:00,114.7
1991-02-25 00:36:50+00:00,109.8
1991-06-26 00:32:41+00:00,126.7
1992-02-28 00:39:59+00:00,107.3
1992-03-31 00:39:54+00:00,103.8
1992-04-09 00:34:01+00:00,92.6
1992-05-11 00:33:46+00:00,101.2
1992-08-15 00:32:37+00:00,95.7
1992-08-22 00:38:16+00:00,118.7
1992-11-26 00:36:52+00:00,98.2
1993-01-06 00:31:10+00:00,126.0
1993-01-22 00:31:45+00:00,118.3
1993-01-29 00:37:36+00:00,109.3
1993-03-02 00:37:52+00:00,102.3
1993-03-11 00:31:48+00:00,89.4
1993-03-18 00:38:00+00:00,101.4
1993-05-21 00:38:19+00:00,96.8
1993-08-25 00:38:12+00:00,124.5
1993-09-10 00:38:10+00:00,113.6
1993-10-12 00:38:02+00:00,125.4
1993-10-28 00:37:56+00:00,127.1
1993-11-29 00:37:44+00:00,129.0
1994-03-21 00:36:22+00:00,109.6
1994-04-22 00:35:46+00:00,121.8
1994-05-24 00:35:11+00:00,131.5
1994-06-02 00:28:50+00:00,134.0
1995-03-08 00:26:21+00:00,126.2
1995-08-08 00:13:24+00:00,151.2
1995-08-15 00:19:15+00:00,173.1
1995-08-24 00:12:39+00:00,177.6
1995-09-09 00:11:54+00:00,186.1
1995-10-27 00:09:45+00:00,151.2
1996-02-07 00:20:41+00:00,165.8
1996-02-23 00:21:47+00:00,148.5
1996-04-27 00:25:50+00:00,136.1
1997-08-04 00:46:57+00:00,155.8
1997-11-08 00:49:42+00:00,158.1
1998-01-27 00:51:33+00:00,178.8
1998-03-16 00:52:26+00:00,146.5
1998-10-10 00:54:39+00:00,163.2
1998-11-27 00:54:50+00:00,166.2
1998-12-13 00:54:45+00:00,159.1
1999-01-14 00:54:48+00:00,173.4
1999-07-25 00:53:33+00:00,172.0
1999-08-03 00:47:44+00:00,166.5
1999-10-21 01:08:41+00:00,158.6
1999-11-14 00:51:34+00:00,158.5
1999-11-22 01:08:38+00:00,157.9
2000-01-26 00:44:11+00:00,163.7
2000-03-21 00:49:51+00:00,144.9
2000-03-22 01:02:39+00:00,141.3
2000-03-29 01:08:21+00:00,132.1
2000-05-09 01:01:47+00:00,158.2
2000-05-16 01:07:56+00:00,157.8
2000-07-03 01:07:27+00:00,163.2
2000-07-20 00:46:43+00:00,167.1
2000-08-20 01:06:52+00:00,150.1
2000-08-29 01:00:58+00:00,180.7
2000-09-21 01:06:17+00:00,173.4
2000-09-22 00:48:19+00:00,185.0
2000-11-24 01:06:08+00:00,182.0
2000-12-02 00:55:02+00:00,194.0
2000-12-26 01:06:17+00:00,195.5
2001-02-21 01:00:26+00:00,179.4
2001-03-09 00:59:58+00:00,160.4
2001-03-16 01:06:05+00:00,151.3
2001-04-01 01:05:57+00:00,165.8
2001-04-10 01:00:08+00:00,153.8
2001-07-15 00:58:59+00:00,184.9
2001-07-30 00:56:08+00:00,166.4
2001-08-23 01:04:37+00:00,164.2
2001-09-24 01:04:17+00:00,157.4
2001-10-03 00:57:54+00:00,171.0
2001-10-19 00:57:56+00:00,155.8
2001-10-26 01:04:07+00:00,163.8
2001-11-20 00:58:34+00:00,172.6
2001-11-27 01:04:23+00:00,171.2
2001-12-22 00:58:19+00:00,173.4
2001-12-29 01:04:27+00:00,169.9
2002-02-15 01:04:43+00:00,178.9
2002-03-12 00:58:57+00:00,193.1
2002-03-19 01:04:35+00:00,184.5
2002-03-28 00:58:27+00:00,182.3
2002-04-20 01:04:36+00:00,166.5
2002-04-29 00:58:28+00:00,153.4
2002-06-07 01:04:24+00:00,168.6
2002-08-10 01:04:00+00:00,195.9
2002-09-04 00:58:02+00:00,175.6
2002-09-20 00:57:25+00:00,191.3
2002-10-29 01:03:36+00:00,176.5
2002-11-14 01:03:44+00:00,200.0
2002-11-30 01:04:03+00:00,169.0
2003-01-17 01:04:16+00:00,182.9
2003-04-07 01:04:35+00:00,156.0
2003-05-09 01:04:34+00:00,156.2
2003-09-30 01:04:00+00:00,152.5
2003-11-17 01:04:26+00:00,164.7
2003-11-26 00:58:19+00:00,139.4
2003-12-27 00:54:33+00:00,168.3
2003-12-28 00:58:32+00:00,164.3
2004-01-20 01:04:49+00:00,154.9
2004-01-28 00:54:40+00:00,155.3
2004-02-13 00:54:43+00:00,167.9
2004-02-21 01:04:55+00:00,148.8
2004-03-16 00:54:55+00:00,154.7
2004-04-01 00:55:02+00:00,147.6
2004-05-11 01:05:01+00:00,160.3
2004-06-04 00:56:56+00:00,160.3
2004-07-07 00:59:02+00:00,139.1
2004-10-02 01:04:23+00:00,170.0
2004-11-27 01:01:08+00:00,197.0
2004-11-28 00:59:07+00:00,199.5
2004-12-13 01:01:29+00:00,189.5
2004-12-21 01:05:05+00:00,184.0
2005-01-14 01:01:54+00:00,198.0
2005-02-15 01:02:22+00:00,185.4
2005-03-03 01:02:38+00:00,174.9
2005-03-19 01:02:49+00:00,188.3
2005-04-28 01:05:23+00:00,173.5
2005-06-08 00:59:09+00:00,177.1
2005-09-03 01:05:00+00:00,177.6
2005-09-04 00:57:45+00:00,151.0
2005-09-11 01:03:57+00:00,201.7
2005-10-13 01:03:51+00:00,190.9
2005-11-22 01:05:22+00:00,201.9
2005-12-24 01:05:29+00:00,201.3
2006-01-25 01:05:47+00:00,208.7
2006-03-30 01:05:54+00:00,201.1
2006-05-01 01:05:52+00:00,188.8
2006-08-05 01:05:30+00:00,217.2
2006-08-14 00:59:43+00:00,213.0
2006-09-07 01:03:44+00:00,233.3
2006-09-23 01:03:31+00:00,149.0
2006-10-08 01:05:10+00:00,164.2
2006-10-09 01:03:43+00:00,180.7
2006-11-09 01:05:41+00:00,195.9
2006-12-03 01:10:24+00:00,197.9
2007-01-04 01:10:37+00:00,175.9
2007-01-05 00:59:51+00:00,189.8
2007-02-05 01:10:47+00:00,194.3
2007-02-21 01:10:49+00:00,192.1
2007-03-01 01:06:19+00:00,154.6
2007-03-18 01:04:35+00:00,166.4
2007-04-10 01:10:38+00:00,164.3
2007-04-26 01:10:31+00:00,152.8
2007-04-27 01:00:31+00:00,168.2
2007-05-04 01:06:15+00:00,163.8
2007-05-12 01:10:22+00:00,154.3
2007-05-20 01:06:09+00:00,165.7
2007-05-21 01:04:05+00:00,174.5
2007-06-13 01:09:55+00:00,165.2
2007-08-16 01:09:10+00:00,171.0
2007-09-09 01:05:40+00:00,164.0
2007-11-12 01:05:55+00:00,153.7
2007-11-21 00:59:48+00:00,182.9
2007-12-14 01:06:07+00:00,184.7
2008-01-08 01:00:00+00:00,181.6
2008-02-16 01:06:06+00:00,171.8
2008-02-24 01:06:16+00:00,179.7
2008-02-25 01:00:16+00:00,149.8
2008-03-11 01:05:56+00:00,171.5
2008-04-04 01:05:58+00:00,141.5
2008-04-05 00:59:12+00:00,159.0
2008-04-12 01:05:12+00:00,133.2
2008-05-06 01:05:52+00:00,128.4
2008-05-07 00:58:22+00:00,134.2
2008-05-23 00:57:58+00:00,132.0
2008-07-02 00:59:12+00:00,136.0
2008-09-03 01:01:14+00:00,147.2
