dates UTC, chainage (m)
1984-06-06 00:37:47+00:00,168.1
1984-07-15 00:44:31+00:00,141.3
1984-07-31 00:45:05+00:00,134.2
1984-08-16 00:45:37+00:00,147.7
1984-09-10 00:39:44+00:00,132.7
1984-11-04 00:45:46+00:00,152.0
1985-01-07 00:46:06+00:00,163.0
1985-07-27 00:39:53+00:00,119.6
1985-08-28 00:39:33+00:00,116.3
1985-12-09 00:43:54+00:00,136.9
1986-01-10 00:43:19+00:00,153.8
1986-04-09 00:35:13+00:00,143.1
1986-05-27 00:33:59+00:00,126.7
1986-06-12 00:33:30+00:00,146.4
1986-07-30 00:32:17+00:00,146.6
1986-08-22 00:37:13+00:00,128.0
1986-11-10 00:34:29+00:00,133.0
1987-02-14 00:36:34+00:00,131.3
1987-04-19 00:38:53+00:00,131.8
1987-05-05 00:39:21+00:00,139.0
1987-05-21 00:39:47+00:00,139.5
1987-06-06 00:40:10+00:00,136.0
1987-07-24 00:41:10+00:00,145.9
1987-08-09 00:41:41+00:00,159.9
1988-02-01 00:45:12+00:00,148.9
1988-12-26 00:39:57+00:00,141.2
1989-01-18 00:45:52+00:00,150.2
1989-01-27 00:39:36+00:00,121.3
1989-03-23 00:44:46+00:00,109.3
1989-08-23 00:36:11+00:00,141.5
1989-10-26 00:34:47+00:00,141.4
1989-11-02 00:40:32+00:00,115.9
1989-11-18 00:39:55+00:00,108.3
1989-12-20 00:39:08+00:00,144.1
1990-01-05 00:38:33+00:00,151.1
1990-02-06 00:37:37+00:00,141.3
1990-02-22 00:37:07+00:00,139.3
1990-03-26 00:36:02+00:00,116.6
1990-04-11 00:36:00+00:00,119.4
1990-05-29 00:36:00+00:00,131.1
1990-09-11 00:29:53+00:00,128.4
1990-10-29 00:29:31+00:00,145.4
1990-11-05 00:35:16+00:00,97.7
1990-11-14 00:29:08+00:00,130.3
1990-12-07 00:35:04+00:00,137.0
1991-01-08 00:35:50+00:00,122.2
1991-01-17 00:30:21+00:00,127.3
1991-01-24 00:36:18+00:00,132.9
1991-02-25 00:36:50+00:00,134.1
1991-06-26 00:32:41+00:00,139.1
1992-02-28 00:39:59+00:00,125.1
1992-03-31 00:39:54+00:00,130.6
1992-04-09 00:34:01+00:00,124.7
1992-05-11 00:33:46+00:00,121.5
1992-08-15 00:32:37+00:00,104.8
1992-08-22 00:38:16+00:00,112.3
1992-11-26 00:36:52+00:00,103.0
1993-01-06 00:31:10+00:00,135.8
1993-01-22 00:31:45+00:00,134.8
1993-01-29 00:37:36+00:00,124.4
1993-03-02 00:37:52+00:00,108.8
1993-03-11 00:31:48+00:00,109.1
1993-03-18 00:38:00+00:00,130.0
1993-05-21 00:38:19+00:00,116.6
1993-08-25 00:38:12+00:00,132.6
1993-09-10 00:38:10+00:00,129.4
1993-10-12 00:38:02+00:00,145.0
1993-10-28 00:37:56+00:00,142.0
1993-11-29 00:37:44+00:00,143.0
