dates UTC, chainage (m)
1984-07-31 00:45:05+00:00,152.3
1984-08-16 00:45:37+00:00,171.9
1984-09-10 00:39:44+00:00,155.8
1984-11-04 00:45:46+00:00,157.5
1985-01-07 00:46:06+00:00,160.2
1985-07-27 00:39:53+00:00,163.4
1985-08-28 00:39:33+00:00,134.8
1985-12-09 00:43:54+00:00,146.3
1986-01-10 00:43:19+00:00,161.8
1986-04-09 00:35:13+00:00,142.4
1986-05-27 00:33:59+00:00,146.3
1986-06-12 00:33:30+00:00,146.8
1986-07-30 00:32:17+00:00,163.3
1986-08-22 00:37:13+00:00,121.8
1986-11-10 00:34:29+00:00,137.4
1987-02-14 00:36:34+00:00,147.6
1987-03-02 00:37:11+00:00,143.4
1987-03-18 00:37:47+00:00,145.5
1987-04-19 00:38:53+00:00,141.4
1987-05-05 00:39:21+00:00,145.8
1987-05-21 00:39:47+00:00,155.2
1987-07-24 00:41:10+00:00,164.8
1988-12-01 00:46:24+00:00,139.7
1988-12-26 00:39:57+00:00,143.6
1989-01-18 00:45:52+00:00,147.1
1989-01-27 00:39:36+00:00,130.3
1989-03-23 00:44:46+00:00,122.2
1989-08-07 00:36:33+00:00,115.9
1989-08-23 00:36:11+00:00,148.6
1989-10-26 00:34:47+00:00,148.8
1989-11-02 00:40:32+00:00,133.9
1989-11-18 00:39:55+00:00,112.7
1989-12-20 00:39:08+00:00,138.0
1990-01-05 00:38:33+00:00,148.3
1990-02-06 00:37:37+00:00,138.0
1990-02-22 00:37:07+00:00,148.2
1990-03-26 00:36:02+00:00,132.5
1990-04-11 00:36:00+00:00,138.4
1990-05-22 00:30:16+00:00,142.2
1990-05-29 00:36:00+00:00,145.0
1990-10-29 00:29:31+00:00,139.4
1990-11-05 00:35:16+00:00,109.8
1990-11-14 00:29:08+00:00,123.2
1990-12-07 00:35:04+00:00,130.1
1991-01-08 00:35:50+00:00,140.0
1991-01-17 00:30:21+00:00,129.0
1991-01-24 00:36:18+00:00,124.7
1991-02-25 00:36:50+00:00,132.2
1991-06-26 00:32:41+00:00,145.4
1991-10-16 00:34:11+00:00,128.2
1992-02-28 00:39:59+00:00,135.9
1992-03-31 00:39:54+00:00,130.9
1992-04-09 00:34:01+00:00,130.7
1992-05-11 00:33:46+00:00,127.0
1992-08-22 00:38:16+00:00,130.0
1992-11-26 00:36:52+00:00,123.3
1993-01-29 00:37:36+00:00,141.1
1993-03-02 00:37:52+00:00,125.3
1993-03-11 00:31:48+00:00,122.2
1993-03-18 00:38:00+00:00,125.8
1993-05-21 00:38:19+00:00,140.6
1993-08-25 00:38:12+00:00,136.8
1993-09-10 00:38:10+00:00,136.1
1993-10-12 00:38:02+00:00,132.7
1993-10-28 00:37:56+00:00,129.7
1993-11-29 00:37:44+00:00,141.6
1993-12-24 00:31:21+00:00,148.2
1994-03-21 00:36:22+00:00,144.1
1994-04-22 00:35:46+00:00,141.3
1994-05-24 00:35:11+00:00,141.9
1994-06-02 00:28:50+00:00,148.3
1995-01-19 00:28:15+00:00,138.3
1995-03-08 00:26:21+00:00,134.1
1995-08-08 00:13:24+00:00,147.4
1995-08-15 00:19:15+00:00,161.1
1995-08-24 00:12:39+00:00,149.4
1995-09-09 00:11:54+00:00,158.3
1995-10-27 00:09:45+00:00,141.3
1996-02-07 00:20:41+00:00,159.3
1996-02-23 00:21:47+00:00,139.8
1996-04-27 00:25:50+00:00,130.9
1996-11-21 00:36:53+00:00,151.9
1996-12-23 00:38:24+00:00,155.7
1997-01-08 00:39:10+00:00,136.9
1997-08-04 00:46:57+00:00,148.9
1997-11-08 00:49:42+00:00,145.1
1998-01-27 00:51:33+00:00,157.2
1998-03-16 00:52:26+00:00,144.5
1998-10-10 00:54:39+00:00,128.8
1998-11-27 00:54:50+00:00,134.2
1998-12-13 00:54:45+00:00,145.8
1999-01-14 00:54:48+00:00,160.7
1999-01-30 00:54:52+00:00,157.4
1999-07-25 00:53:33+00:00,163.0
1999-08-03 00:47:44+00:00,155.5
1999-10-21 01:08:41+00:00,151.9
