dates UTC, chainage (m)
1984-07-15 00:44:31+00:00,154.7
1984-07-31 00:45:05+00:00,158.1
1984-08-16 00:45:37+00:00,182.4
1984-09-10 00:39:44+00:00,158.8
1984-11-04 00:45:46+00:00,172.7
1985-01-07 00:46:06+00:00,187.3
1985-07-27 00:39:53+00:00,179.5
1985-08-28 00:39:33+00:00,176.0
1986-01-10 00:43:19+00:00,190.3
1986-04-09 00:35:13+00:00,177.2
1986-05-27 00:33:59+00:00,189.2
1986-06-12 00:33:30+00:00,185.4
1986-07-30 00:32:17+00:00,182.0
1986-08-22 00:37:13+00:00,149.8
1986-11-10 00:34:29+00:00,166.8
1987-02-14 00:36:34+00:00,182.9
1987-03-02 00:37:11+00:00,176.7
1987-03-18 00:37:47+00:00,179.8
1987-04-19 00:38:53+00:00,171.0
1987-05-05 00:39:21+00:00,182.0
1987-06-06 00:40:10+00:00,184.1
1987-07-24 00:41:10+00:00,183.4
1987-08-09 00:41:41+00:00,187.1
1988-02-01 00:45:12+00:00,183.7
1988-12-01 00:46:24+00:00,156.9
1988-12-26 00:39:57+00:00,179.4
1989-01-18 00:45:52+00:00,186.9
1989-08-07 00:36:33+00:00,144.4
1989-11-02 00:40:32+00:00,164.2
1989-11-18 00:39:55+00:00,144.8
1989-12-20 00:39:08+00:00,170.2
1990-01-05 00:38:33+00:00,172.2
1990-02-06 00:37:37+00:00,188.2
1990-02-22 00:37:07+00:00,175.1
1990-03-26 00:36:02+00:00,168.6
1990-04-11 00:36:00+00:00,179.2
1990-05-22 00:30:16+00:00,169.5
1990-10-29 00:29:31+00:00,180.9
1990-11-05 00:35:16+00:00,146.2
1990-11-14 00:29:08+00:00,162.9
1990-12-07 00:35:04+00:00,175.1
1991-01-08 00:35:50+00:00,180.9
1991-01-24 00:36:18+00:00,163.3
1991-02-25 00:36:50+00:00,170.2
1991-06-26 00:32:41+00:00,182.1
1991-10-16 00:34:11+00:00,150.7
1992-03-31 00:39:54+00:00,174.4
1992-04-09 00:34:01+00:00,157.9
1992-05-11 00:33:46+00:00,167.5
1992-08-15 00:32:37+00:00,148.5
1992-08-22 00:38:16+00:00,160.8
1992-11-26 00:36:52+00:00,153.6
1993-01-29 00:37:36+00:00,163.1
1993-03-11 00:31:48+00:00,145.1
1993-03-18 00:38:00+00:00,163.6
1993-05-21 00:38:19+00:00,161.6
1993-08-25 00:38:12+00:00,161.9
1993-09-10 00:38:10+00:00,167.8
1993-10-12 00:38:02+00:00,170.5
1993-10-28 00:37:56+00:00,179.7
1993-11-29 00:37:44+00:00,175.9
1993-12-24 00:31:21+00:00,166.5
1994-03-21 00:36:22+00:00,164.2
1994-04-22 00:35:46+00:00,169.9
1994-05-24 00:35:11+00:00,159.5
1994-06-02 00:28:50+00:00,170.7
1995-01-19 00:28:15+00:00,177.2
1995-03-08 00:26:21+00:00,180.4
1995-08-15 00:19:15+00:00,184.9
1995-08-24 00:12:39+00:00,190.0
1995-09-09 00:11:54+00:00,192.0
1995-10-27 00:09:45+00:00,180.5
1996-02-23 00:21:47+00:00,179.6
1996-04-27 00:25:50+00:00,166.8
1996-11-21 00:36:53+00:00,168.7
1996-12-07 00:37:39+00:00,159.7
1996-12-23 00:38:24+00:00,161.4
1997-01-08 00:39:10+00:00,142.4
1997-08-04 00:46:57+00:00,170.1
